# 
# Naziv datoteke:	"tablica_mnozenja.txt"
# Autor:			"Pero Peric"
# **************************************************************************************************************
# 
      1.00;      2.00;      3.00;      4.00;      5.00;      6.00;      7.00;      8.00;      9.00;     10.00
      2.00;      4.00;      6.00;      8.00;     10.00;     12.00;     14.00;     16.00;     18.00;     20.00
      3.00;      6.00;      9.00;     12.00;     15.00;     18.00;     21.00;     24.00;     27.00;     30.00
      4.00;      8.00;     12.00;     16.00;     20.00;     24.00;     28.00;     32.00;     36.00;     40.00
      5.00;     10.00;     15.00;     20.00;     25.00;     30.00;     35.00;     40.00;     45.00;     50.00
      6.00;     12.00;     18.00;     24.00;     30.00;     36.00;     42.00;     48.00;     54.00;     60.00
      7.00;     14.00;     21.00;     28.00;     35.00;     42.00;     49.00;     56.00;     63.00;     70.00
      8.00;     16.00;     24.00;     32.00;     40.00;     48.00;     56.00;     64.00;     72.00;     80.00
      9.00;     18.00;     27.00;     36.00;     45.00;     54.00;     63.00;     72.00;     81.00;     90.00
     10.00;     20.00;     30.00;     40.00;     50.00;     60.00;     70.00;     80.00;     90.00;    100.00
# 
# **************************************************************************************************************
# Datum:		14.05.2024 18:41
# 
